Name,PTS,REB,AST,STL,BLK,FG%,MVP Voting Point Share,Win/Loss Difference,Position,Year,ZSum,REBAST
Russell Westbrook,23.2,5.2,7.4,1.8,0.3,43.8,0.007,38,9,2013,-0.5443892524,12.6
James Harden,29,6.1,7.5,1.7,0.6,43.9,0.007,0,9,2016,-1.195335137,13.6
Giannis Antetokounmpo,22.9,8.8,5.4,1.6,1.9,52.1,0.007,2,7,2017,0.2770906216,14.2
John Wall,23.1,4.2,10.7,2,0.6,45.1,0.007,16,7,2017,-1.177417142,14.9
Steve Nash,12.5,3,10.7,0.6,0.1,53.2,0.006,0,9,2012,-3.931153491,13.7
Lamarcus Aldridge,23.1,8.5,2,0.6,1.2,51,0.006,12,9,2018,-4.152057892,10.5
Dwyane Wade,22.1,4.8,4.6,1.7,1.3,59.7,0.005,26,10,2012,3.045171683,9.4
LaMarcus Aldridge,23.4,10.2,1.7,0.7,1,46.6,0.005,20,7,2015,-1.918616636,11.9
Kyle Lowry,21.2,4.7,6.4,2.1,0.4,42.7,0.005,30,10,2016,-2.54290848,11.1
Steph Curry,26.4,5.1,6.1,1.6,0.2,49.5,0.005,34,10,2018,-0.1176063888,11.2
Dwyane Wade,21.2,5,5.1,1.9,0.8,52.1,0.004,50,10,2013,1.477618757,10.1
Blake Griffin,21.9,7.6,5.3,0.9,0.5,50.2,0.002,8,8,2015,-2.199863022,12.9
Marc Gasol,17.4,7.8,3.8,0.9,1.6,49.4,0.002,28,8,2015,-1.182341854,11.6
Anthony Davis,28,11.8,2.1,1.3,2.2,50.5,0.002,-14,9,2017,0.4998889081,13.9
Kevin Durant,25.1,8.3,4.8,1.1,1.6,53.7,0.002,52,9,2017,1.62187602,13.1
Tim Duncan,13.9,9.1,3,0.8,2,51.2,0.001,28,10,2015,-0.8094936987,12.1
